Location,year,CountDate,LPSLamprey,dayCount,dayCorrectionFactor,dayCountCorrected,dayComments,nightCount,nightCorrectionFactor,nightCountCorrected,nightComments
"Bonneville Bradford Island",2019,01/01/2019,0,0,,,,0,,,
"Bonneville Bradford Island",2019,01/02/2019,-1,-1,,,,0,,,
"Bonneville Bradford Island",2019,01/03/2019,0,0,,,,0,,,
"Bonneville Bradford Island",2019,01/04/2019,0,0,,,,0,,,
"Bonneville Bradford Island",2019,01/05/2019,0,0,,,,0,,,
"Bonneville Bradford Island",2019,01/06/2019,0,0,,,,0,,,
"Bonneville Bradford Island",2019,01/07/2019,0,0,,,,0,,,
"Bonneville Bradford Island",2019,01/08/2019,0,0,,,,0,,,
"Bonneville Bradford Island",2019,01/09/2019,0,0,,,,0,,,
"Bonneville Bradford Island",2019,01/10/2019,0,0,,,,0,,,
"Bonneville Bradford Island",2019,01/11/2019,-1,-1,,,,0,,,
"Bonneville Bradford Island",2019,01/12/2019,0,0,,,,0,,,
"Bonneville Bradford Island",2019,01/13/2019,0,0,,,,0,,,
"Bonneville Bradford Island",2019,01/14/2019,0,0,,,,0,,,
"Bonneville Bradford Island",2019,01/15/2019,0,0,,,,0,,,
"Bonneville Bradford Island",2019,01/16/2019,0,0,,,,0,,,
"Bonneville Bradford Island",2019,01/17/2019,1,1,,,,0,,,
"Bonneville Bradford Island",2019,01/18/2019,-1,-1,,,,0,,,
"Bonneville Bradford Island",2019,01/19/2019,-1,-1,,,,0,,,
"Bonneville Bradford Island",2019,01/20/2019,0,0,,,,0,,,
"Bonneville Bradford Island",2019,01/21/2019,-1,-1,,,,0,,,
"Bonneville Bradford Island",2019,01/22/2019,-4,-4,,,,0,,,
"Bonneville Bradford Island",2019,01/23/2019,0,0,,,,0,,,
"Bonneville Bradford Island",2019,01/24/2019,-2,-2,,,,0,,,
"Bonneville Bradford Island",2019,01/25/2019,-1,-1,,,,0,,,
"Bonneville Bradford Island",2019,01/26/2019,0,0,,,,0,,,
"Bonneville Bradford Island",2019,01/27/2019,-1,-1,,,,0,,,
"Bonneville Bradford Island",2019,01/28/2019,0,0,,,,0,,,
"Bonneville Bradford Island",2019,01/29/2019,0,0,,,,0,,,
"Bonneville Bradford Island",2019,01/30/2019,-1,-1,,,,0,,,
"Bonneville Bradford Island",2019,01/31/2019,-3,-3,,,,0,,,
"Bonneville Bradford Island",2019,02/01/2019,-1,-1,,,,0,,,
"Bonneville Bradford Island",2019,02/02/2019,-1,-1,,,,0,,,
"Bonneville Bradford Island",2019,02/03/2019,-1,-1,,,,0,,,
"Bonneville Bradford Island",2019,02/04/2019,0,0,,,,0,,,
"Bonneville Bradford Island",2019,02/05/2019,-1,-1,,,,0,,,
"Bonneville Bradford Island",2019,02/06/2019,-2,-2,,,,0,,,
"Bonneville Bradford Island",2019,02/07/2019,-1,-1,,,,0,,,
"Bonneville Bradford Island",2019,02/08/2019,-1,-1,,,,0,,,
"Bonneville Bradford Island",2019,02/09/2019,-1,-1,,,,0,,,
"Bonneville Bradford Island",2019,02/10/2019,0,0,,,,0,,,
"Bonneville Bradford Island",2019,02/11/2019,-1,-1,,,,0,,,
"Bonneville Bradford Island",2019,02/12/2019,0,0,,,,0,,,
"Bonneville Bradford Island",2019,02/13/2019,0,0,,,,0,,,
"Bonneville Bradford Island",2019,02/14/2019,-3,-3,,,,0,,,
"Bonneville Bradford Island",2019,02/15/2019,0,0,,,,0,,,
"Bonneville Bradford Island",2019,02/16/2019,0,0,,,,0,,,
"Bonneville Bradford Island",2019,02/17/2019,-3,-3,,,,0,,,
"Bonneville Bradford Island",2019,02/18/2019,-1,-1,,,,0,,,
"Bonneville Bradford Island",2019,02/19/2019,0,0,,,,0,,,
"Bonneville Bradford Island",2019,02/20/2019,0,0,,,,0,,,
"Bonneville Bradford Island",2019,02/21/2019,0,0,,,,0,,,
"Bonneville Bradford Island",2019,02/22/2019,0,0,,,,0,,,
"Bonneville Bradford Island",2019,02/23/2019,0,0,,,,0,,,
